Player,Team,FGM/A*,FG%,FTM/A*,FT%,3PTM,PTS,REB,AST,ST,BLK,TO
B. Miller,"CHA - SG,SF",523/1156,0.452,186/223,0.834,200,1432,362,193,83,53,163
D. Vassell,"SAS - SG,SF",573/1232,0.465,190/233,0.815,204,1540,281,317,91,25,119
M. Williams,CHA - C,334/514,0.65,167/236,0.708,0,835,603,79,53,85,109
J. Nurkic,PHX - C,253/484,0.523,122/184,0.663,18,646,641,218,66,65,152
M. Porter Jr.,"DEN - SF,PF",536/1097,0.489,105/127,0.827,220,1397,549,125,52,55,87
K. Murray,"SAC - SF,PF",434/951,0.456,95.0/114,0.833,203,1166,431,116,76,49,108
C. Thomas,BKN - SG,636/1471,0.432,348/408,0.853,188,1808,272,250,54,17,172
B. Lopez,MIL - C,367/742,0.495,100/123,0.813,137,971,398,45,60,168,90
C. Capela,ATL - C,337/527,0.639,82.0/148,0.554,0,756,717,80,48,107,38
T. Herro,"MIA - PG,SG",505/1156,0.437,168/190,0.884,204,1382,347,303,44,8,175
J. Giddey,"CHI - SG,SF",500/1049,0.477,125/159,0.786,94,1219,537,517,82,30,257
B. Beal,"PHX - PG,SG",470/950,0.495,162/192,0.844,116,1218,267,328,63,23,153
D. Russell,LAL - PG,434/973,0.446,153/186,0.823,200,1221,225,440,65,23,172
C. McCollum,"NOP - PG,SG",486/1092,0.445,122/153,0.797,225,1319,274,321,71,22,129
J. Holiday,"BOS - PG,SG",332/702,0.473,60.0/72.0,0.833,127,851,341,338,72,44,181
C. White,"CHI - PG,SG",540/1197,0.451,240/280,0.857,203,1523,339,308,44,17,153
K. Kuzma,WAS - PF,604/1306,0.462,174/232,0.75,163,1545,466,277,44,46,177
K. Middleton,MIL - SF,378/785,0.482,142/166,0.855,114,1012,294,316,62,16,168
J. Poeltl,TOR - C,371/586,0.633,110/182,0.604,0,852,608,155,57,91,105
J. Suggs,"ORL - PG,SG",322/708,0.455,119/159,0.748,147,910,228,213,102,34,136
I. Hartenstein,OKC - C,249/397,0.627,108/153,0.706,0,606,616,175,82,87,137
J. Valanciunas,WAS - C,390/695,0.561,167/208,0.803,37,984,698,157,35,56,151
A. Simons,"POR - PG,SG",434/1006,0.431,177/198,0.894,217,1262,165,270,40,8,153
T. Rozier,MIA - PG,426/959,0.444,160/192,0.833,144,1156,280,305,82,22,85
T. Murphy III,"NOP - SF,PF",371/811,0.457,146/171,0.854,230,1118,344,171,73,34,41
